  Quartz Watch Men's Watches Luxury Digital Analog Men Leather Waterproof Military,US,$43.69,,https://www.ebay.com/itm/Quartz-Watch-Mens-Watches-Luxury-Digital-Analog-Men-Leather-Waterproof-Military/254168183687?hash=item3b2d9ab387:m:mMj43VFhk8Lm_1q7A-ff1vQ
  Luis Cardini Men's Quartz Watch Men's Watch,,,,https://www.ebay.com/itm/Luis-Cardini-Mens-Quartz-Watch-Mens-Watch/123696093477?hash=item1cccdc9925:g:WI8AAOSwyRdcMW28
  Two Rare Vintage Ladies Seiko Silverwave PSN058 1421-0080 Military Field Watches,US,$158.00,,https://www.ebay.com/itm/Two-Rare-Vintage-Ladies-Seiko-Silverwave-PSN058-1421-0080-Military-Field-Watches/283420029700?hash=item41fd267304:g:ifYAAOSw~-Zcjc3B
  Modern Pulsar Men's Wrist Watch,,,,https://www.ebay.com/itm/Modern-Pulsar-Mens-Wrist-Watch/264243844363?hash=item3d8629150b:g:ut8AAOSwJtVbsT9s
  Stuhrling 842 Men’s Swiss Quartz Diver Watch Solid Stainless Steel Bracelet ,US,$129.99,30-day,https://www.ebay.com/itm/Stuhrling-842-Men-s-Swiss-Quartz-Diver-Watch-Solid-Stainless-Steel-Bracelet/283084739492?epid=12018773211&hash=item41e92a53a4:m:mSO4vSGe3pZGwOPRKETs_nQ
  Swiss Army 241598 Men's Silver Dial Brown Strap Automatic Watch,US,$559.29,Limited,https://www.ebay.com/itm/Swiss-Army-241598-Mens-Silver-Dial-Brown-Strap-Automatic-Watch/352289310571?epid=0&hash=item520614476b:g:K70AAOSwF3VcgT-3
  Invicta 1546 Lefty Sea Hunter Swiss Made Rose Gold WR 100M Men’s Watch NEW,,,,https://www.ebay.com/itm/Invicta-1546-Lefty-Sea-Hunter-Swiss-Made-Rose-Gold-WR-100M-Men-s-Watch-NEW/273766602637?epid=1538543967&hash=item3fbdc2d78d:g:cAAAAOSwAvJW90b3
  Guess Waterpro Titanium Men's Blue Face Multidial Chronograph Watch I17005G1,US,$74.95,,https://www.ebay.com/itm/Guess-Waterpro-Titanium-Mens-Blue-Face-Multidial-Chronograph-Watch-I17005G1/233170962282?hash=item364a12876a:g:rpgAAOSwC1hcjxln
  Dress Watches Luxury Women's Fashion Casual Leather Quartz Watch Ladies Diamond,US,$28.49,,https://www.ebay.com/itm/Dress-Watches-Luxury-Womens-Fashion-Casual-Leather-Quartz-Watch-Ladies-Diamond/254167248945?hash=item3b2d8c7031:m:m-QTnC53lSQG8JzwzkXqBDw
  Fossil Machine Chronograph Black Ion-plated Men's Watch FS4552,US,$88.99,30-day,https://www.ebay.com/itm/Fossil-Machine-Chronograph-Black-Ion-plated-Mens-Watch-FS4552/132971621675?epid=219590013&hash=item1ef5b9ed2b:g:ZDIAAOSwiZhceVec
